,player,scrape_name,player_image_link
1750,Collin Sexton,sextoco01,https://www.basketball-reference.com/req/202106291/images/headshots/sextoco01.jpg
1751,Wendell Carter,cartewe01,https://www.basketball-reference.com/req/202106291/images/headshots/cartewe01.jpg
1752,Chandler Hutchison,hutchch01,https://www.basketball-reference.com/req/202106291/images/headshots/hutchch01.jpg
1753,Jonah Bolden,boldejo01,https://www.basketball-reference.com/req/202106291/images/headshots/boldejo01.jpg
1754,Alize Johnson,johnsal01,https://www.basketball-reference.com/req/202106291/images/headshots/johnsal01.jpg
1755,Frank Jackson,jacksfr01,https://www.basketball-reference.com/req/202106291/images/headshots/jacksfr01.jpg
1756,Isaiah Briscoe,briscis01,https://www.basketball-reference.com/req/202106291/images/headshots/briscis01.jpg
1757,Josh Okogie,okogijo01,https://www.basketball-reference.com/req/202106291/images/headshots/okogijo01.jpg
1758,Mikal Bridges,bridgmi01,https://www.basketball-reference.com/req/202106291/images/headshots/bridgmi01.jpg
1759,Thomas Welsh,welshth01,https://www.basketball-reference.com/req/202106291/images/headshots/welshth01.jpg
1760,Džanan Musa,musadž01,https://www.basketball-reference.com/req/202106291/images/headshots/musadž01.jpg
1761,Theo Pinson,pinsoth01,https://www.basketball-reference.com/req/202106291/images/headshots/pinsoth01.jpg
1762,Chimezie Metu,metuch01,https://www.basketball-reference.com/req/202106291/images/headshots/metuch01.jpg
1763,Drew Eubanks,eubandr01,https://www.basketball-reference.com/req/202106291/images/headshots/eubandr01.jpg
1764,Gary Clark,clarkga01,https://www.basketball-reference.com/req/202106291/images/headshots/clarkga01.jpg
1765,Isaiah Hartenstein,harteis01,https://www.basketball-reference.com/req/202106291/images/headshots/harteis01.jpg
1766,Deonte Burton,burtode01,https://www.basketball-reference.com/req/202106291/images/headshots/burtode01.jpg
1767,Jacob Evans,evansja01,https://www.basketball-reference.com/req/202106291/images/headshots/evansja01.jpg
1768,Svi Mykhailiuk,mykhasv01,https://www.basketball-reference.com/req/202106291/images/headshots/mykhasv01.jpg
1769,Johnathan Williams,willijo01,https://www.basketball-reference.com/req/202106291/images/headshots/willijo01.jpg
1770,Grayson Allen,allengr01,https://www.basketball-reference.com/req/202106291/images/headshots/allengr01.jpg
1771,Tyler Lydon,lydonty01,https://www.basketball-reference.com/req/202106291/images/headshots/lydonty01.jpg
1772,DeVaughn Akoon-Purcell,akoonde01,https://www.basketball-reference.com/req/202106291/images/headshots/akoonde01.jpg
1773,Troy Brown,browntr01,https://www.basketball-reference.com/req/202106291/images/headshots/browntr01.jpg
1774,Duncan Robinson,robindu01,https://www.basketball-reference.com/req/202106291/images/headshots/robindu01.jpg
1775,Jerome Robinson,robinje01,https://www.basketball-reference.com/req/202106291/images/headshots/robinje01.jpg
1776,Keita Bates-Diop,bateske01,https://www.basketball-reference.com/req/202106291/images/headshots/bateske01.jpg
1777,Robert Williams,williro01,https://www.basketball-reference.com/req/202106291/images/headshots/williro01.jpg
1778,Kenrich Williams,willike01,https://www.basketball-reference.com/req/202106291/images/headshots/willike01.jpg
1779,Devonte' Graham,grahade01,https://www.basketball-reference.com/req/202106291/images/headshots/grahade01.jpg
1780,De'Anthony Melton,meltode01,https://www.basketball-reference.com/req/202106291/images/headshots/meltode01.jpg
1781,Anfernee Simons,simonan01,https://www.basketball-reference.com/req/202106291/images/headshots/simonan01.jpg
1782,Jared Terrell,terreja01,https://www.basketball-reference.com/req/202106291/images/headshots/terreja01.jpg
1783,Khyri Thomas,thomakh01,https://www.basketball-reference.com/req/202106291/images/headshots/thomakh01.jpg
1784,Marcus Derrickson,derrima01,https://www.basketball-reference.com/req/202106291/images/headshots/derrima01.jpg
1785,Melvin Frazier,frazime01,https://www.basketball-reference.com/req/202106291/images/headshots/frazime01.jpg
1786,Yuta Watanabe,watanyu01,https://www.basketball-reference.com/req/202106291/images/headshots/watanyu01.jpg
1787,Vince Edwards,edwarvi01,https://www.basketball-reference.com/req/202106291/images/headshots/edwarvi01.jpg
1788,Jordan Loyd,loydjo01,https://www.basketball-reference.com/req/202106291/images/headshots/loydjo01.jpg
1789,Moritz Wagner,wagnemo01,https://www.basketball-reference.com/req/202106291/images/headshots/wagnemo01.jpg
1790,Tyler Davis,davisty01,https://www.basketball-reference.com/req/202106291/images/headshots/davisty01.jpg
1791,Shake Milton,miltosh01,https://www.basketball-reference.com/req/202106291/images/headshots/miltosh01.jpg
